"sector_index","avg_ransom_paid","total_ransom_paid","ramson_count"
"S&P 500 Industrials","6866180.51","48063263.59","7"
"S&P 500 Consumer Discretionary","2442165.45","17095158.13","7"
"S&P 500 Health Care","1614779.36","12918234.88","8"
"S&P 500 Financials","2576657.96","12883289.82","5"
"S&P 500 Information Technology","1582470.42","11077292.97","7"
"S&P 500 Utilities","9289688.88","9289688.88","1"
"S&P 500","2916315.71","8748947.12","3"
"S&P 500 Energy","3580783.24","3580783.24","1"
"S&P 500 Real Estate","993761.68","993761.68","1"
